Time:2023-03-21 20:29:56 EP:90 Reward:0 Avg_reward:0.5582111111111111 Epsilon:0.05 Iter:1202 Res:Result.Defeat
Time:2023-03-21 20:31:27 EP:91 Reward:0 Avg_reward:0.552076923076923 Epsilon:0.05 Iter:1068 Res:Result.Defeat
Time:2023-03-21 20:33:10 EP:92 Reward:0 Avg_reward:0.5460760869565217 Epsilon:0.05 Iter:1247 Res:Result.Defeat
Time:2023-03-21 20:34:49 EP:93 Reward:0 Avg_reward:0.5402043010752687 Epsilon:0.05 Iter:1175 Res:Result.Defeat
Time:2023-03-21 20:36:43 EP:94 Reward:0 Avg_reward:0.5344574468085106 Epsilon:0.05 Iter:1387 Res:Result.Defeat
Time:2023-03-21 20:38:44 EP:95 Reward:0 Avg_reward:0.5288315789473684 Epsilon:0.05 Iter:1484 Res:Result.Defeat
Time:2023-03-21 20:41:14 EP:96 Reward:0.12000000000000004 Avg_reward:0.5245729166666667 Epsilon:0.05 Iter:1814 Res:Result.Defeat
Time:2023-03-21 20:43:09 EP:97 Reward:0 Avg_reward:0.5191649484536083 Epsilon:0.05 Iter:1390 Res:Result.Defeat
Time:2023-03-21 20:44:56 EP:98 Reward:0 Avg_reward:0.5138673469387756 Epsilon:0.05 Iter:1277 Res:Result.Defeat
Time:2023-03-21 20:46:41 EP:99 Reward:0 Avg_reward:0.5086767676767677 Epsilon:0.05 Iter:1270 Res:Result.Defeat
Time:2023-03-21 20:48:45 EP:100 Reward:0 Avg_reward:0.50359 Epsilon:0.05 Iter:1508 Res:Result.Defeat
Time:2023-03-21 20:51:03 EP:101 Reward:0 Avg_reward:0.0015500000000000002 Epsilon:0.05 Iter:1645 Res:Result.Defeat
Time:2023-03-21 20:52:46 EP:102 Reward:0 Avg_reward:0.0015500000000000002 Epsilon:0.05 Iter:1233 Res:Result.Defeat
