Time:2023-02-08 12:03:10 EP:112 Reward:0 Avg_reward:4.3193999999994706 Epsilon:0.05 Iter:1822 Res:Result.Defeat
Time:2023-02-08 12:04:22 EP:113 Reward:0 Avg_reward:4.3193999999994706 Epsilon:0.05 Iter:1881 Res:Result.Defeat
Time:2023-02-08 12:05:23 EP:114 Reward:0 Avg_reward:4.3193999999994706 Epsilon:0.05 Iter:1514 Res:Result.Defeat
Time:2023-02-08 12:06:11 EP:115 Reward:0 Avg_reward:4.3193999999994706 Epsilon:0.05 Iter:1117 Res:Result.Defeat
Time:2023-02-08 12:06:59 EP:116 Reward:0 Avg_reward:4.3193999999994706 Epsilon:0.05 Iter:1121 Res:Result.Defeat
Time:2023-02-08 12:07:57 EP:117 Reward:0 Avg_reward:4.3193999999994706 Epsilon:0.05 Iter:1430 Res:Result.Defeat
Time:2023-02-08 12:08:59 EP:118 Reward:0 Avg_reward:4.3193999999994706 Epsilon:0.05 Iter:1578 Res:Result.Defeat
Time:2023-02-08 12:10:01 EP:119 Reward:0 Avg_reward:4.3193999999994706 Epsilon:0.05 Iter:1524 Res:Result.Defeat
Time:2023-02-08 12:12:05 EP:120 Reward:0.30000000000000016 Avg_reward:4.322399999999471 Epsilon:0.05 Iter:3316 Res:Result.Defeat
Time:2023-02-08 12:12:58 EP:121 Reward:0 Avg_reward:4.322399999999471 Epsilon:0.05 Iter:1262 Res:Result.Defeat
Time:2023-02-08 12:14:15 EP:122 Reward:0 Avg_reward:4.322399999999471 Epsilon:0.05 Iter:2002 Res:Result.Defeat
Time:2023-02-08 12:15:08 EP:123 Reward:0 Avg_reward:4.322399999999471 Epsilon:0.05 Iter:1269 Res:Result.Defeat
Time:2023-02-08 12:16:04 EP:124 Reward:0 Avg_reward:4.322399999999471 Epsilon:0.05 Iter:1363 Res:Result.Defeat
Time:2023-02-08 12:17:44 EP:125 Reward:0 Avg_reward:4.322399999999471 Epsilon:0.05 Iter:2620 Res:Result.Defeat
Time:2023-02-08 12:18:56 EP:126 Reward:0 Avg_reward:4.322399999999471 Epsilon:0.05 Iter:1889 Res:Result.Defeat
Time:2023-02-08 12:20:28 EP:127 Reward:0 Avg_reward:4.322399999999471 Epsilon:0.05 Iter:2451 Res:Result.Defeat
Time:2023-02-08 12:22:00 EP:128 Reward:0 Avg_reward:4.322399999999471 Epsilon:0.05 Iter:2449 Res:Result.Defeat
Time:2023-02-08 12:23:33 EP:129 Reward:0.19500000000000006 Avg_reward:4.324349999999471 Epsilon:0.05 Iter:2421 Res:Result.Defeat
Time:2023-02-08 12:24:26 EP:130 Reward:0 Avg_reward:4.322249999999471 Epsilon:0.05 Iter:1304 Res:Result.Defeat
Time:2023-02-08 12:25:20 EP:131 Reward:0 Avg_reward:4.32224999999947 Epsilon:0.05 Iter:1321 Res:Result.Defeat
Time:2023-02-08 12:26:55 EP:132 Reward:0.15 Avg_reward:4.323749999999471 Epsilon:0.05 Iter:2537 Res:Result.Defeat
Time:2023-02-08 12:27:56 EP:133 Reward:0 Avg_reward:3.603599999999452 Epsilon:0.05 Iter:1536 Res:Result.Defeat
Time:2023-02-08 12:29:00 EP:134 Reward:0 Avg_reward:3.603599999999452 Epsilon:0.05 Iter:1626 Res:Result.Defeat
Time:2023-02-08 12:29:56 EP:135 Reward:0 Avg_reward:3.6035999999994517 Epsilon:0.05 Iter:1343 Res:Result.Defeat
Time:2023-02-08 12:32:00 EP:136 Reward:0.135 Avg_reward:3.604949999999452 Epsilon:0.05 Iter:3367 Res:Result.Defeat
Time:2023-02-08 12:33:20 EP:137 Reward:0 Avg_reward:3.604949999999452 Epsilon:0.05 Iter:2092 Res:Result.Defeat
Time:2023-02-08 12:34:11 EP:138 Reward:0 Avg_reward:3.604949999999452 Epsilon:0.05 Iter:1257 Res:Result.Defeat
Time:2023-02-08 12:35:09 EP:139 Reward:0 Avg_reward:3.587099999999452 Epsilon:0.05 Iter:1434 Res:Result.Defeat
Time:2023-02-08 12:36:06 EP:140 Reward:0 Avg_reward:3.583049999999452 Epsilon:0.05 Iter:1397 Res:Result.Defeat
Time:2023-02-08 12:37:01 EP:141 Reward:0 Avg_reward:3.583049999999452 Epsilon:0.05 Iter:1373 Res:Result.Defeat
Time:2023-02-08 12:37:59 EP:142 Reward:0 Avg_reward:3.5830499999994525 Epsilon:0.05 Iter:1414 Res:Result.Defeat
Time:2023-02-08 12:39:00 EP:143 Reward:0 Avg_reward:3.481649999999452 Epsilon:0.05 Iter:1495 Res:Result.Defeat
Time:2023-02-08 12:39:56 EP:144 Reward:0 Avg_reward:3.481649999999452 Epsilon:0.05 Iter:1377 Res:Result.Defeat
Time:2023-02-08 12:40:42 EP:145 Reward:0 Avg_reward:3.481649999999452 Epsilon:0.05 Iter:1096 Res:Result.Defeat
Time:2023-02-08 12:41:52 EP:146 Reward:0 Avg_reward:3.481649999999452 Epsilon:0.05 Iter:1798 Res:Result.Defeat
Time:2023-02-08 12:43:31 EP:147 Reward:0.075 Avg_reward:3.482399999999452 Epsilon:0.05 Iter:2650 Res:Result.Defeat
Time:2023-02-08 12:44:23 EP:148 Reward:0 Avg_reward:3.482399999999452 Epsilon:0.05 Iter:1240 Res:Result.Defeat
Time:2023-02-08 12:45:22 EP:149 Reward:0 Avg_reward:3.482399999999452 Epsilon:0.05 Iter:1455 Res:Result.Defeat
Time:2023-02-08 12:46:27 EP:150 Reward:0 Avg_reward:3.436949999999452 Epsilon:0.05 Iter:1602 Res:Result.Defeat
Time:2023-02-08 12:47:21 EP:151 Reward:0 Avg_reward:3.436949999999452 Epsilon:0.05 Iter:1345 Res:Result.Defeat
